route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
1 39A c a,284,5901_10231,Ongar,17245,0,5901_7778195_7039002,5901_231
1 39A c a,284,5901_10237,Ongar,16945,0,5901_7778195_7039004,5901_232
1 39A c a,284,5901_10241,Ongar,16998,0,5901_7778195_7039009,5901_230
1 39A c a,284,5901_10243,Ongar,17100,0,5901_7778195_7039001,5901_231
1 39A c a,284,5901_10249,Ongar,17224,0,5901_7778195_7039003,5901_232
1 39A c a,284,5901_10251,Ongar,17212,0,5901_7778195_7039006,5901_231
1 39A c a,284,5901_10254,Ongar,17037,0,5901_7778195_7039007,5901_230
1 39A c a,284,5901_10258,Ongar,17169,0,5901_7778195_7039025,5901_230
1 39A c a,284,5901_10260,Ongar,17060,0,5901_7778195_7039029,5901_230
1 39A c a,284,5901_10264,Ongar,17001,0,5901_7778195_7039008,5901_232
1 39A c a,284,5901_10266,Ongar,16887,0,5901_7778195_7039011,5901_230
1 39A c a,284,5901_10269,Ongar,17247,0,5901_7778195_7039002,5901_230
1 39A c a,284,5901_10274,Ongar,17021,0,5901_7778195_7039012,5901_231
1 39A c a,284,5901_10277,Ongar,17010,0,5901_7778195_7039015,5901_231
1 39A c a,284,5901_10280,Ongar,16947,0,5901_7778195_7039004,5901_230
1 39A c a,284,5901_10284,Ongar,17123,0,5901_7778195_7039018,5901_231
1 39A c a,284,5901_10286,Ongar,17142,0,5901_7778195_7039020,5901_230
1 39A c a,284,5901_10289,Ongar,16968,0,5901_7778195_7039036,5901_231
1 39A c a,284,5901_10293,Ongar,17190,0,5901_7778195_7039022,5901_230
1 39A c a,284,5901_10296,Ongar,17206,0,5901_7778195_7039023,5901_230
1 39A c a,284,5901_10300,Ongar,17130,0,5901_7778195_7039026,5901_230
1 39A c a,284,5901_10304,Ongar,17199,0,5901_7778195_7039028,5901_232
1 39A c a,284,5901_10306,Ongar,17048,0,5901_7778195_7039030,5901_230
1 39A c a,284,5901_10310,Ongar,19426,0,5901_7778195_8808115,5901_230
1 39A c a,284,5901_10313,Ongar,17102,0,5901_7778195_7039001,5901_231
1 39A c a,284,5901_10316,Ongar,16961,0,5901_7778195_7039034,5901_230
1 39A c a,284,5901_10321,Ongar,17226,0,5901_7778195_7039003,5901_230
1 39A c a,284,5901_10322,Ongar,17214,0,5901_7778195_7039006,5901_230
1 39A c a,284,5901_10326,Ongar,17117,0,5901_7778195_7039035,5901_230
1 39A c a,284,5901_10330,Ongar,17108,0,5901_7778195_7039037,5901_230
1 39A c a,284,5901_10335,Ongar,17039,0,5901_7778195_7039007,5901_231
1 39A c a,284,5901_10338,Ongar,17171,0,5901_7778195_7039025,5901_230
1 39A c a,284,5901_10341,Ongar,17062,0,5901_7778195_7039029,5901_230
1 39A c a,284,5901_10344,Ongar,17003,0,5901_7778195_7039008,5901_231
1 39A c a,284,5901_10347,Ongar,16889,0,5901_7778195_7039011,5901_230
1 39A c a,284,5901_10351,Ongar,17249,0,5901_7778195_7039002,5901_230
1 39A c a,284,5901_10356,Ongar,17023,0,5901_7778195_7039012,5901_230
1 39A c a,284,5901_10359,Ongar,17012,0,5901_7778195_7039015,5901_230
1 39A c a,284,5901_10363,Ongar,16949,0,5901_7778195_7039004,5901_230
1 39A c a,284,5901_10367,Ongar,17125,0,5901_7778195_7039018,5901_231
1 39A c a,284,5901_10369,Ongar,17144,0,5901_7778195_7039020,5901_230
1 39A c a,284,5901_10372,Ongar,16970,0,5901_7778195_7039036,5901_230
1 39A c a,284,5901_10376,Ongar,17192,0,5901_7778195_7039022,5901_230
1 39A c a,284,5901_10380,Ongar,17208,0,5901_7778195_7039023,5901_230
1 39A c a,284,5901_10384,Ongar,17132,0,5901_7778195_7039026,5901_230
1 39A c a,284,5901_10387,Ongar,17201,0,5901_7778195_7039028,5901_231
1 39A c a,284,5901_10390,Ongar,17050,0,5901_7778195_7039030,5901_230
1 39A c a,284,5901_10393,Ongar,16980,0,5901_7778195_7039039,5901_230
1 39A c a,284,5901_10397,Ongar,17104,0,5901_7778195_7039001,5901_231
1 39A c a,284,5901_10400,Ongar,16963,0,5901_7778195_7039034,5901_230
1 39A c a,284,5901_10405,Ongar,17228,0,5901_7778195_7039003,5901_230
1 39A c a,284,5901_10406,Ongar,17216,0,5901_7778195_7039006,5901_230
1 39A c a,284,5901_10411,Ongar,12036,0,5901_7778195_7039615,5901_230
1 39A c a,284,5901_10412,Ongar,17119,0,5901_7778195_7039035,5901_230
1 39A c a,284,5901_10416,Ongar,15127,0,5901_7778195_7807221,5901_230
1 39A c a,284,5901_10418,Ongar,17110,0,5901_7778195_7039037,5901_230
1 39A c a,284,5901_10422,Ongar,18122,0,5901_7778195_7039617,5901_230
1 39A c a,284,5901_10425,Ongar,17041,0,5901_7778195_7039007,5901_231
1 39A c a,284,5901_10427,Ongar,17266,0,5901_7778195_7039041,5901_230
1 39A c a,284,5901_10432,Ongar,17173,0,5901_7778195_7039025,5901_230
1 39A c a,284,5901_10433,Ongar,19255,0,5901_7778195_11311218,5901_230
1 39A c a,284,5901_10438,Ongar,12289,0,5901_7778195_11811202,5901_230
1 39A c a,284,5901_10442,Ongar,19421,0,5901_7778195_8808210,5901_230
1 39A c a,284,5901_10444,Ongar,17064,0,5901_7778195_7039029,5901_230
1 39A c a,284,5901_10446,Ongar,17005,0,5901_7778195_7039008,5901_230
1 39A c a,284,5901_10449,Ongar,16891,0,5901_7778195_7039011,5901_230
1 39A c a,284,5901_10452,Ongar,17251,0,5901_7778195_7039002,5901_230
1 39A c a,284,5901_10456,Ongar,17025,0,5901_7778195_7039012,5901_230
1 39A c a,284,5901_10459,Ongar,17014,0,5901_7778195_7039015,5901_230
1 39A c a,284,5901_10461,Ongar,18123,0,5901_7778195_8808214,5901_230
1 39A c a,284,5901_10464,Ongar,16951,0,5901_7778195_7039004,5901_231
1 39A c a,284,5901_10466,Ongar,17221,0,5901_7778195_7039044,5901_230
1 39A c a,284,5901_10469,Ongar,17127,0,5901_7778195_7039018,5901_230
1 39A c a,284,5901_10473,Ongar,17146,0,5901_7778195_7039020,5901_230
1 39A c a,284,5901_10475,Ongar,16972,0,5901_7778195_7039036,5901_230
1 39A c a,284,5901_10480,Ongar,17194,0,5901_7778195_7039022,5901_230
1 39A c a,284,5901_10484,Ongar,17210,0,5901_7778195_7039023,5901_230
1 39A c a,284,5901_10487,Ongar,17134,0,5901_7778195_7039026,5901_230
1 39A c a,284,5901_10490,Ongar,17203,0,5901_7778195_7039028,5901_230
1 39A c a,284,5901_10494,Ongar,16940,0,5901_7778195_7039043,5901_230
1 39A c a,284,5901_10498,Ongar,17052,0,5901_7778195_7039030,5901_231
1 39A c a,284,5901_10500,Ongar,16982,0,5901_7778195_7039039,5901_230
1 39A c a,284,5901_10504,Ongar,17106,0,5901_7778195_7039001,5901_230
1 39A c a,284,5901_10506,Ongar,16965,0,5901_7778195_7039034,5901_230
1 39A c a,284,5901_10512,Ongar,17230,0,5901_7778195_7039003,5901_231
1 39A c a,284,5901_10514,Ongar,17218,0,5901_7778195_7039006,5901_230
